                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:12:24  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
0         0.00000e+00   4.78319e-01   0.00000e+00   0.00000e+00  -9.82109e-07 
1         1.00000e-02   4.88147e-01   1.00000e-02   1.00000e-02  -6.38369e-07 
2         2.00000e-02   4.97912e-01   2.00000e-02   2.00000e-02  -1.40664e-07 
3         3.00000e-02   5.07592e-01   3.00000e-02   3.00000e-02   5.76294e-07 
4         4.00000e-02   5.17156e-01   4.00000e-02   4.00000e-02   1.60186e-06 
5         5.00000e-02   5.26563e-01   5.00000e-02   5.00000e-02   3.05485e-06 
6         6.00000e-02   5.35762e-01   6.00000e-02   6.00000e-02   5.08684e-06 
7         7.00000e-02   5.44683e-01   7.00000e-02   7.00000e-02   7.87955e-06 
8         8.00000e-02   5.53245e-01   8.00000e-02   8.00000e-02   1.16305e-05 
9         9.00000e-02   5.61347e-01   9.00000e-02   9.00000e-02   1.65203e-05 
10        1.00000e-01   5.68877e-01   1.00000e-01   1.00000e-01   2.26574e-05 
11        1.10000e-01   5.75720e-01   1.10000e-01   1.10000e-01   3.00086e-05 
12        1.20000e-01   5.81775e-01   1.20000e-01   1.20000e-01   3.83396e-05 
13        1.30000e-01   5.86967e-01   1.30000e-01   1.30000e-01   4.72070e-05 
14        1.40000e-01   5.91271e-01   1.40000e-01   1.40000e-01   5.60316e-05 
15        1.50000e-01   5.94717e-01   1.50000e-01   1.50000e-01   6.42366e-05 
16        1.60000e-01   5.97385e-01   1.60000e-01   1.60000e-01   7.13898e-05 
17        1.70000e-01   5.99391e-01   1.70000e-01   1.70000e-01   7.72783e-05 
18        1.80000e-01   6.00860e-01   1.80000e-01   1.80000e-01   8.18975e-05 
19        1.90000e-01   6.01916e-01   1.90000e-01   1.90000e-01   8.53843e-05 
20        2.00000e-01   6.02662e-01   2.00000e-01   2.00000e-01   8.79404e-05 
21        2.10000e-01   6.03184e-01   2.10000e-01   2.10000e-01   8.97744e-05 
22        2.20000e-01   6.03546e-01   2.20000e-01   2.20000e-01   9.10708e-05 
23        2.30000e-01   6.03795e-01   2.30000e-01   2.30000e-01   9.19781e-05 
24        2.40000e-01   6.03966e-01   2.40000e-01   2.40000e-01   9.26093e-05 
25        2.50000e-01   6.04082e-01   2.50000e-01   2.50000e-01   9.30473e-05 
