                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:14:02  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
0         0.00000e+00   6.09821e-01   0.00000e+00   0.00000e+00  -1.48237e-04 
1         1.00000e-02   6.19694e-01   1.00000e-02   1.00000e-02  -9.67369e-05 
2         2.00000e-02   6.29515e-01   2.00000e-02   2.00000e-02  -2.19749e-05 
3         3.00000e-02   6.39264e-01   3.00000e-02   3.00000e-02   8.59810e-05 
4         4.00000e-02   6.48911e-01   4.00000e-02   4.00000e-02   2.40707e-04 
5         5.00000e-02   6.58421e-01   5.00000e-02   5.00000e-02   4.60213e-04 
6         6.00000e-02   6.67746e-01   6.00000e-02   6.00000e-02   7.67371e-04 
7         7.00000e-02   6.76826e-01   7.00000e-02   7.00000e-02   1.18952e-03 
8         8.00000e-02   6.85595e-01   8.00000e-02   8.00000e-02   1.75664e-03 
9         9.00000e-02   6.93979e-01   9.00000e-02   9.00000e-02   2.49771e-03 
10        1.00000e-01   7.01906e-01   1.00000e-01   1.00000e-01   3.43545e-03 
11        1.10000e-01   7.09312e-01   1.10000e-01   1.10000e-01   4.58050e-03 
12        1.20000e-01   7.16147e-01   1.20000e-01   1.20000e-01   5.92695e-03 
13        1.30000e-01   7.22378e-01   1.30000e-01   1.30000e-01   7.45038e-03 
14        1.40000e-01   7.27990e-01   1.40000e-01   1.40000e-01   9.10919e-03 
15        1.50000e-01   7.32978e-01   1.50000e-01   1.50000e-01   1.08483e-02 
16        1.60000e-01   7.37350e-01   1.60000e-01   1.60000e-01   1.26042e-02 
17        1.70000e-01   7.41119e-01   1.70000e-01   1.70000e-01   1.43114e-02 
18        1.80000e-01   7.44309e-01   1.80000e-01   1.80000e-01   1.59084e-02 
19        1.90000e-01   7.46949e-01   1.90000e-01   1.90000e-01   1.73440e-02 
20        2.00000e-01   7.49083e-01   2.00000e-01   2.00000e-01   1.85837e-02 
21        2.10000e-01   7.50761e-01   2.10000e-01   2.10000e-01   1.96120e-02 
22        2.20000e-01   7.52048e-01   2.20000e-01   2.20000e-01   2.04331e-02 
23        2.30000e-01   7.53009e-01   2.30000e-01   2.30000e-01   2.10664e-02 
24        2.40000e-01   7.53712e-01   2.40000e-01   2.40000e-01   2.15407e-02 
25        2.50000e-01   7.54217e-01   2.50000e-01   2.50000e-01   2.18874e-02 
26        2.60000e-01   7.54573e-01   2.60000e-01   2.60000e-01   2.21362e-02 
27        2.70000e-01   7.54823e-01   2.70000e-01   2.70000e-01   2.23125e-02 
28        2.80000e-01   7.54996e-01   2.80000e-01   2.80000e-01   2.24363e-02 
29        2.90000e-01   7.55115e-01   2.90000e-01   2.90000e-01   2.25229e-02 
30        3.00000e-01   7.55197e-01   3.00000e-01   3.00000e-01   2.25835e-02 
31        3.10000e-01   7.55252e-01   3.10000e-01   3.10000e-01   2.26259e-02 
32        3.20000e-01   7.55291e-01   3.20000e-01   3.20000e-01   2.26559e-02 
33        3.30000e-01   7.55317e-01   3.30000e-01   3.30000e-01   2.26773e-02 
34        3.40000e-01   7.55334e-01   3.40000e-01   3.40000e-01   2.26929e-02 
35        3.50000e-01   7.55346e-01   3.50000e-01   3.50000e-01   2.27045e-02 
36        3.60000e-01   7.55355e-01   3.60000e-01   3.60000e-01   2.27134e-02 
37        3.70000e-01   7.55360e-01   3.70000e-01   3.70000e-01   2.27204e-02 
38        3.80000e-01   7.55364e-01   3.80000e-01   3.80000e-01   2.27262e-02 
39        3.90000e-01   7.55366e-01   3.90000e-01   3.90000e-01   2.27311e-02 
40        4.00000e-01   7.55368e-01   4.00000e-01   4.00000e-01   2.27354e-02 
41        4.10000e-01   7.55369e-01   4.10000e-01   4.10000e-01   2.27394e-02 
42        4.20000e-01   7.55370e-01   4.20000e-01   4.20000e-01   2.27430e-02 
43        4.30000e-01   7.55371e-01   4.30000e-01   4.30000e-01   2.27465e-02 
44        4.40000e-01   7.55371e-01   4.40000e-01   4.40000e-01   2.27499e-02 
45        4.50000e-01   7.55371e-01   4.50000e-01   4.50000e-01   2.27531e-02 
46        4.60000e-01   7.55372e-01   4.60000e-01   4.60000e-01   2.27563e-02 
47        4.70000e-01   7.55372e-01   4.70000e-01   4.70000e-01   2.27595e-02 
48        4.80000e-01   7.55372e-01   4.80000e-01   4.80000e-01   2.27626e-02 
49        4.90000e-01   7.55372e-01   4.90000e-01   4.90000e-01   2.27658e-02 
50        5.00000e-01   7.55372e-01   5.00000e-01   5.00000e-01   2.27689e-02 
51        5.10000e-01   7.55372e-01   5.10000e-01   5.10000e-01   2.27720e-02 
52        5.20000e-01   7.55372e-01   5.20000e-01   5.20000e-01   2.27751e-02 

Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
53        5.30000e-01   7.55372e-01   5.30000e-01   5.30000e-01   2.27782e-02 
54        5.40000e-01   7.55372e-01   5.40000e-01   5.40000e-01   2.27813e-02 
55        5.50000e-01   7.55372e-01   5.50000e-01   5.50000e-01   2.27844e-02 
56        5.60000e-01   7.55372e-01   5.60000e-01   5.60000e-01   2.27874e-02 
57        5.70000e-01   7.55372e-01   5.70000e-01   5.70000e-01   2.27905e-02 
58        5.80000e-01   7.55372e-01   5.80000e-01   5.80000e-01   2.27936e-02 
59        5.90000e-01   7.55372e-01   5.90000e-01   5.90000e-01   2.27967e-02 
60        6.00000e-01   7.55372e-01   6.00000e-01   6.00000e-01   2.27998e-02 
61        6.10000e-01   7.55372e-01   6.10000e-01   6.10000e-01   2.28029e-02 
62        6.20000e-01   7.55372e-01   6.20000e-01   6.20000e-01   2.28060e-02 
63        6.30000e-01   7.55372e-01   6.30000e-01   6.30000e-01   2.28091e-02 
64        6.40000e-01   7.55372e-01   6.40000e-01   6.40000e-01   2.28121e-02 
65        6.50000e-01   7.55372e-01   6.50000e-01   6.50000e-01   2.28152e-02 
