                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:13:55  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
--------------------------------------------------------------------------------
0         0.00000e+00   5.80270e-01   0.00000e+00   0.00000e+00  -4.94791e-05 
1         1.00000e-02   5.90164e-01   1.00000e-02   1.00000e-02  -3.22803e-05 
2         2.00000e-02   6.00016e-01   2.00000e-02   2.00000e-02  -7.23482e-06 
3         3.00000e-02   6.09810e-01   3.00000e-02   3.00000e-02   2.90983e-05 
4         4.00000e-02   6.19524e-01   4.00000e-02   4.00000e-02   8.15248e-05 
5         5.00000e-02   6.29128e-01   5.00000e-02   5.00000e-02   1.56615e-04 
6         6.00000e-02   6.38582e-01   6.00000e-02   6.00000e-02   2.63080e-04 
7         7.00000e-02   6.47834e-01   7.00000e-02   7.00000e-02   4.11969e-04 
8         8.00000e-02   6.56819e-01   8.00000e-02   8.00000e-02   6.16431e-04 
9         9.00000e-02   6.65458e-01   9.00000e-02   9.00000e-02   8.90660e-04 
10        1.00000e-01   6.73662e-01   1.00000e-01   1.00000e-01   1.24772e-03 
11        1.10000e-01   6.81338e-01   1.10000e-01   1.10000e-01   1.69618e-03 
12        1.20000e-01   6.88395e-01   1.20000e-01   1.20000e-01   2.23621e-03 
13        1.30000e-01   6.94755e-01   1.30000e-01   1.30000e-01   2.85637e-03 
14        1.40000e-01   7.00361e-01   1.40000e-01   1.40000e-01   3.53274e-03 
15        1.50000e-01   7.05185e-01   1.50000e-01   1.50000e-01   4.23137e-03 
16        1.60000e-01   7.09228e-01   1.60000e-01   1.60000e-01   4.91382e-03 
17        1.70000e-01   7.12525e-01   1.70000e-01   1.70000e-01   5.54435e-03 
18        1.80000e-01   7.15138e-01   1.80000e-01   1.80000e-01   6.09634e-03 
19        1.90000e-01   7.17151e-01   1.90000e-01   1.90000e-01   6.55591e-03 
20        2.00000e-01   7.18662e-01   2.00000e-01   2.00000e-01   6.92179e-03 
21        2.10000e-01   7.19771e-01   2.10000e-01   2.10000e-01   7.20221e-03 
22        2.20000e-01   7.20569e-01   2.20000e-01   2.20000e-01   7.41060e-03 
23        2.30000e-01   7.21134e-01   2.30000e-01   2.30000e-01   7.56182e-03 
24        2.40000e-01   7.21529e-01   2.40000e-01   2.40000e-01   7.66966e-03 
25        2.50000e-01   7.21804e-01   2.50000e-01   2.50000e-01   7.74562e-03 
26        2.60000e-01   7.21993e-01   2.60000e-01   2.60000e-01   7.79872e-03 
27        2.70000e-01   7.22123e-01   2.70000e-01   2.70000e-01   7.83569e-03 
